일시,평균기온(°C),최저기온(°C),최고기온(°C),합계 일조시간(hr),일강수량(mm)
2022-03-21,5.0,-0.3,10.9,6.8,0.0
2022-03-22,7.1,1.1,13.6,11.0,0.0
2022-03-23,6.2,4.9,8.2,0.0,0.0
2022-03-24,8.2,3.9,12.4,0.7,0.0
2022-03-25,12.0,6.3,17.2,1.3,10.9
2022-03-26,11.8,9.5,14.7,0.9,19.8
2022-03-27,8.1,5.0,12.6,10.4,0.0
2022-03-28,8.2,1.5,15.1,11.7,0.0
2022-03-29,9.7,3.3,15.6,11.2,0.0
2022-03-30,10.8,5.9,15.7,1.2,0.4
2022-03-31,10.9,7.6,14.7,3.3,0.0
2023-02-01,0.9,-3.0,6.0,8.9,0.0
2023-02-02,-2.4,-5.1,1.4,7.6,0.0
2023-02-03,-1.6,-3.9,3.4,8.6,0.0
2023-02-04,-0.2,-5.2,6.0,8.2,0.0
2023-02-05,1.7,-3.3,7.1,7.0,0.0
2023-02-06,3.0,-1.7,8.8,7.1,0.0
2023-02-07,3.5,-0.6,9.5,6.4,0.0
2023-02-08,2.1,-1.3,7.8,9.5,0.0
2023-02-09,4.0,-2.8,9.9,6.7,0.0
2023-02-10,3.8,1.1,6.2,2.0,0.6
2023-02-11,2.8,-1.2,8.5,5.5,0.0
2023-02-12,3.7,-0.9,7.6,2.0,0.0
2023-02-13,5.9,2.7,8.4,0.8,0.0
2023-02-14,1.7,-2.5,6.6,9.5,0.0
2023-02-15,3.2,-1.2,8.9,9.4,0.0
2023-02-16,2.3,-0.7,4.5,1.9,0.0
2023-02-17,3.4,-1.5,9.8,7.5,0.0
2023-02-18,5.7,3.0,8.1,0.0,0.0
2023-02-19,3.5,0.2,6.1,7.0,0.4
2023-02-20,-0.5,-3.5,2.4,9.5,0.0
2023-02-21,-1.3,-5.3,4.8,10.0,0.0
2023-02-22,1.2,-4.5,8.4,9.2,0.0
2023-02-23,2.9,-1.8,9.2,10.0,0.0
2023-02-24,3.5,-0.4,8.5,9.8,0.0
2023-02-25,0.7,-2.9,5.7,10.2,0.0
2023-02-26,2.2,-3.4,9.4,10.4,0.0
2023-02-27,4.4,-1.8,12.4,10.5,0.0
2023-02-28,4.3,-0.7,8.7,3.0,0.0
2023-03-01,6.0,2.9,9.0,4.1,0.0
2023-03-02,2.2,-1.8,6.6,10.5,0.0
2023-03-03,4.6,-1.9,10.4,7.5,0.0
2023-03-04,7.7,3.7,14.1,8.7,0.0
2023-03-05,8.0,2.5,15.4,10.1,0.0
2023-03-06,9.2,2.2,16.5,10.0,0.0
2023-03-07,11.7,6.3,19.4,7.0,0.0
2023-03-08,12.5,7.4,17.7,1.8,1.2
2023-03-09,10.3,7.4,13.1,2.0,3.7
2023-03-10,13.5,6.2,22.2,9.6,0.0
2023-03-11,15.2,10.2,22.8,7.6,0.0
2023-03-12,5.9,0.6,12.6,0.8,5.6
2023-03-13,2.9,-1.9,7.6,9.8,0.0
2023-03-14,9.2,3.3,15.4,9.1,0.0
2023-03-15,8.6,3.5,14.4,1.2,0.0
2023-03-16,4.6,0.4,9.0,6.7,0.0
2023-03-17,7.2,0.7,12.7,4.4,0.0
2023-03-18,7.7,2.5,14.0,9.9,0.0
2023-03-19,8.3,2.3,15.2,11.1,0.0
2023-03-20,9.5,2.6,17.1,10.0,0.0
2023-03-21,13.0,5.0,22.2,10.8,0.0
2023-03-22,17.0,9.2,25.1,6.2,0.0
2023-03-23,17.4,12.3,23.3,5.3,0.0
2023-03-24,12.5,7.6,18.3,6.6,0.0
2023-03-25,12.5,8.0,18.7,5.7,0.0
2023-03-26,9.4,4.7,14.0,11.1,0.0
2023-03-27,7.3,1.9,14.5,11.1,0.0
2023-03-28,9.2,2.8,15.7,7.4,0.0
2023-03-29,11.8,5.1,19.7,11.0,0.0
2023-03-30,13.3,6.4,21.2,11.5,0.0
2023-03-31,15.0,7.5,23.9,11.2,0.0
2024-02-01,2.4,-1.3,8.2,6.8,0.0
2024-02-02,3.1,0.7,7.9,4.4,0.0
2024-02-03,4.7,-0.2,8.3,1.0,0.0
2024-02-04,7.3,3.7,12.2,4.6,0.0
2024-02-05,2.7,0.1,6.6,0.0,3.9
2024-02-06,1.2,0.0,2.9,0.0,0.2
2024-02-07,0.6,-0.9,2.7,0.0,0.0
2024-02-08,0.6,-3.0,6.2,9.2,0.0
2024-02-09,1.1,-2.5,6.1,6.9,0.0
2024-02-10,1.7,-1.5,7.4,5.6,0.0
2024-02-11,1.0,-3.1,5.5,5.6,0.0
2024-02-12,3.5,-2.9,10.5,9.7,0.0
2024-02-13,8.2,2.0,13.7,5.5,0.0
2024-02-14,12.9,8.8,18.3,4.0,0.0
2024-02-15,4.5,0.6,11.6,0.9,10.9
2024-02-16,2.3,-1.5,8.1,7.9,0.0
2024-02-17,4.4,-1.2,11.7,8.7,0.0
2024-02-18,6.2,1.2,9.4,1.1,17.1
2024-02-19,9.1,4.2,11.9,0.0,8.9
2024-02-20,4.3,2.8,6.8,0.0,2.6
2024-02-21,1.9,0.0,4.0,0.0,17.8
2024-02-22,0.2,-1.1,1.6,0.0,8.8
2024-02-23,1.8,-1.0,6.1,5.8,0.4
2024-02-24,2.0,-1.3,5.9,5.5,2.3
2024-02-25,2.8,0.8,5.9,0.9,1.8
2024-02-26,3.8,-1.2,9.7,6.8,0.0
2024-02-27,5.3,1.2,9.8,5.5,0.0
2024-02-28,6.4,3.2,10.1,1.7,0.0
2024-02-29,4.8,0.3,9.6,1.2,0.0
2024-03-01,-4.1,-7.1,0.3,10.6,0.0
2024-03-02,-0.5,-8.1,4.1,5.8,0.0
2024-03-03,4.0,0.4,7.8,6.6,0.0
2024-03-04,5.4,-1.8,11.7,9.5,0.0
2024-03-05,8.0,5.5,11.0,0.1,0.0
2024-03-06,6.2,2.5,10.3,2.3,0.0
2024-03-07,3.9,1.2,8.2,2.5,2.1
2024-03-08,2.1,-0.7,6.5,10.4,0.0
2024-03-09,2.0,-2.1,7.1,10.9,0.0
2024-03-10,4.2,-1.8,10.6,10.9,0.0
2024-03-11,6.2,2.0,10.8,,0.0
2024-03-12,6.6,4.4,10.0,0.0,2.1
2024-03-13,6.5,1.3,12.0,10.9,0.0
2024-03-14,8.5,3.4,15.4,,0.0
2024-03-15,8.9,4.0,14.5,10.6,0.0
2024-03-16,10.9,4.4,18.3,8.3,0.0
2024-03-17,8.8,5.4,12.2,8.7,0.1
2024-03-18,7.1,1.4,13.2,10.6,0.0
2024-03-19,6.7,3.9,9.8,2.7,0.2
2024-03-20,4.4,1.2,8.7,9.0,0.0
2024-03-21,5.0,-1.2,11.5,11.3,0.0
2024-03-22,10.4,3.8,15.2,3.5,5.4
2024-03-23,13.0,9.3,18.2,8.2,0.1
2024-03-24,16.2,10.5,23.4,8.1,0.0
2024-03-25,10.6,6.7,14.5,0.0,5.1
2024-03-26,7.4,3.2,12.4,2.3,11.5
2024-03-27,10.4,4.4,16.2,8.8,0.0
2024-03-28,10.3,7.8,12.2,0.0,1.9
2024-03-29,7.6,5.0,12.3,2.5,1.4
2024-03-30,8.8,3.0,15.6,5.4,0.0
2024-03-31,10.6,3.4,17.7,10.1,0.0
2025-02-01,1.6,-2.0,7.9,7.3,0.0
2025-02-02,1.5,-2.5,6.8,7.8,0.0
2025-02-03,-4.1,-8.2,0.6,9.6,0.0
2025-02-04,-9.0,-11.5,-5.3,9.7,0.0
2025-02-05,-8.6,-11.8,-3.7,6.8,0.0
2025-02-06,-5.6,-11.5,-0.2,5.9,2.3
2025-02-07,-8.0,-10.7,-4.7,7.6,0.4
2025-02-08,-7.9,-11.5,-3.4,9.6,0.0
2025-02-09,-4.7,-9.6,1.7,9.4,0.0
2025-02-10,-2.6,-7.5,2.6,7.2,0.0
2025-02-11,0.5,-5.7,7.0,9.4,0.0
2025-02-12,0.5,-2.9,2.5,0.0,2.5
2025-02-13,0.2,-5.8,6.1,9.6,0.0
2025-02-14,3.7,-1.6,10.1,9.5,0.0
2025-02-15,4.1,0.4,7.8,0.9,0.0
2025-02-16,4.3,0.4,9.7,3.4,0.0
2025-02-17,-0.3,-3.4,3.5,9.9,0.0
2025-02-18,-2.3,-5.2,2.6,9.9,0.0
2025-02-19,-3.0,-5.8,1.2,10.0,0.0
2025-02-20,-2.9,-6.5,1.9,10.0,0.0
2025-02-21,-2.5,-6.4,2.6,10.1,0.0
2025-02-22,-2.3,-5.6,2.7,10.2,0.0
2025-02-23,-3.6,-6.5,0.5,10.1,0.0
2025-02-24,-1.3,-6.3,4.7,10.3,0.0
2025-02-25,2.1,-3.1,6.1,5.4,0.0
2025-02-26,3.7,0.7,9.1,9.6,0.0
2025-02-27,5.8,-2.0,14.2,10.0,0.0
2025-02-28,7.8,3.7,13.7,3.4,0.0
2025-03-01,8.5,3.4,13.0,1.7,0.6
2025-03-02,8.3,2.2,15.6,0.4,11.8
2025-03-03,3.1,1.0,7.1,6.6,10.4
2025-03-04,2.5,0.9,3.4,0.6,4.0
2025-03-05,4.8,2.3,9.2,1.6,0.0
2025-03-06,4.8,-0.4,10.4,10.5,0.0
2025-03-07,5.3,0.0,11.1,8.6,0.0
2025-03-08,5.8,2.8,11.2,9.0,0.0
2025-03-09,6.9,1.2,13.5,10.4,0.0
2025-03-10,8.0,2.4,14.9,10.5,0.0
2025-03-11,9.4,2.9,16.6,10.2,0.0
2025-03-12,8.5,6.7,11.8,0.1,0.0
2025-03-13,8.9,3.2,15.0,10.5,0.0
2025-03-14,12.4,5.0,20.1,9.7,0.0
2025-03-15,12.6,10.0,17.2,6.3,0.0
2025-03-16,4.9,1.3,10.1,3.9,0.8
2025-03-17,2.5,-1.3,6.8,9.5,0.4
2025-03-18,2.1,0.3,5.6,3.8,9.9
2025-03-19,2.4,-1.9,7.3,11.3,0.0
2025-03-20,8.2,2.2,15.0,7.3,0.0
2025-03-21,11.6,7.9,18.7,9.5,0.0
2025-03-22,12.8,6.1,19.9,11.1,0.0
2025-03-23,15.2,7.1,24.0,8.9,0.0
2025-03-24,15.5,11.7,21.3,7.6,0.0
2025-03-25,12.7,8.4,21.4,3.9,0.0
2025-03-26,15.5,6.0,23.9,10.0,0.0
2025-03-27,13.7,7.1,18.6,1.9,0.3
2025-03-28,6.5,3.1,11.8,7.8,0.0
2025-03-29,3.3,0.6,6.7,7.3,0.0
2025-03-30,3.3,-1.8,7.6,7.1,0.0
2025-03-31,7.7,1.2,14.1,10.8,0.0
