지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2)
90,속초,2014-04-01,11.7,7.5,17.5,,3.8,1.7,76.8,10.5,
90,속초,2014-04-02,16.5,7.2,23.1,,6.3,2.6,45.8,11.1,
90,속초,2014-04-03,7.7,3.9,11.5,34,8.3,4,87.6,0,
90,속초,2014-04-04,4.3,1.9,7.8,3.5,5.6,2.2,79.3,4.4,
90,속초,2014-04-05,4.3,.7,9.7,3,6.5,2,77.6,5.8,
90,속초,2014-04-06,8.2,1.5,13.3,,6.9,3.1,47.3,12,
90,속초,2014-04-07,17.3,11,21.9,,11.3,4.8,29.4,10.5,
90,속초,2014-04-08,12.8,8.6,16.6,,5.8,2,63.3,11.2,
90,속초,2014-04-09,17.5,8.6,23.2,,6,2.4,40.1,11.1,
90,속초,2014-04-10,11.2,6.4,19.2,,5.6,2.8,56.3,6.2,
90,속초,2014-04-11,9.8,5,13.9,,3.7,1.9,76.3,10.8,
90,속초,2014-04-12,11.3,7.4,12.7,,4.6,2.1,85.4,4,
90,속초,2014-04-13,11.9,9.6,14.6,,4.1,1.8,90.5,6.8,
90,속초,2014-04-14,14.1,8.7,21,,6,2.5,76.5,8.7,
90,속초,2014-04-15,21,14.2,27,,7,3.3,43.8,10.4,
90,속초,2014-04-16,13.4,10.9,18.1,,5.8,2.5,73.8,10.2,
90,속초,2014-04-17,11.7,9.7,13.7,.3,4.8,2.6,82.6,5.3,
90,속초,2014-04-18,11.1,8.8,14.5,0,5.6,2.3,69.8,5.5,
90,속초,2014-04-19,10.7,7.4,13.3,,6.2,2.7,70.3,1.2,
90,속초,2014-04-20,11.7,7.9,15.2,,7.1,3.4,70.8,10.5,
90,속초,2014-04-21,15.1,9,19.6,,4.5,2.4,50,9.7,
90,속초,2014-04-22,15.6,9.4,20.3,,4.4,1.8,40.5,11.2,
90,속초,2014-04-23,18.1,13,22.9,,4.8,2,36.5,11.8,
90,속초,2014-04-24,18.5,12.9,23.4,,5.3,1.9,43.8,10.7,
90,속초,2014-04-25,19.2,13,24.8,,5.4,2.2,37.3,11.1,
90,속초,2014-04-26,18.9,12.2,23.2,,4.2,1.6,47.4,6.9,
90,속초,2014-04-27,17.1,13.8,23.1,1.5,5.7,2.2,67,0,
90,속초,2014-04-28,13.6,12.9,14.4,10.5,6.3,2.7,97,0,
90,속초,2014-04-29,12,10.2,13.7,41,5.9,3.8,98.6,0,
90,속초,2014-04-30,11.7,9.4,14.2,5,7.3,2.7,79.1,1,
95,철원,2014-04-01,12.3,1.8,22.1,,5.3,1.2,35.5,10,
95,철원,2014-04-02,12.7,2.3,21.8,,5.5,1.9,35.4,10.4,
95,철원,2014-04-03,7.4,2.6,13.1,2,8.5,2.3,61.5,0,
95,철원,2014-04-04,4.3,-2.4,9.9,,4.7,1.8,53.9,6.6,
95,철원,2014-04-05,2.5,-4,10.4,0,6,1.4,67.5,7.4,
95,철원,2014-04-06,5.1,-5.6,14.4,,6.5,2.5,51.1,11.7,
95,철원,2014-04-07,8.7,-1.5,18.4,,5.7,2.5,60,8.4,
95,철원,2014-04-08,10.3,.1,19.9,,3.8,1.6,48.4,11.2,
95,철원,2014-04-09,10.5,.3,19,,5.2,1.7,54.3,11,
95,철원,2014-04-10,12.2,5.7,20.8,,3.2,1.3,58.1,7.6,
95,철원,2014-04-11,12.6,4.2,20.9,,4.4,1.4,58.6,5.4,
95,철원,2014-04-12,13.7,8.2,19.5,,3.8,1.3,62.6,1.8,
95,철원,2014-04-13,15.9,8.2,24.8,0,4.2,1.4,50.5,8.6,
95,철원,2014-04-14,15,5.9,23.5,,5.6,1.9,48.3,10.4,
95,철원,2014-04-15,12.6,4.2,20.4,,5.1,2.2,60.9,4.8,
95,철원,2014-04-16,14.2,7.3,21.4,,4.7,1.9,70.9,6.4,
95,철원,2014-04-17,13.3,7.9,22.6,.5,6.1,1.9,66.9,2.1,
95,철원,2014-04-18,15.1,9.4,23.2,,6.6,3.1,36.5,9.1,
95,철원,2014-04-19,11.5,8.2,15.9,,6.3,3.7,43.4,0,
95,철원,2014-04-20,13.5,6.7,20.5,,5.3,2.1,48.5,10.4,
