지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2)
90,속초,2024-02-01,-.1,-2.5,4.9,2.6,5.9,3,83,0,
90,속초,2024-02-02,-.7,-2.4,1.7,.3,2,.9,87.3,1.3,
90,속초,2024-02-03,1.1,-1.6,3,,3.2,1.3,82.3,.1,
90,속초,2024-02-04,1.8,1,2.8,0,3.3,1.4,78.9,0,
90,속초,2024-02-05,0,-2.3,2.8,14.7,5.7,3.1,89.3,0,
90,속초,2024-02-06,-1,-2.7,2.1,,2,1,76.9,2.7,
90,속초,2024-02-07,-.7,-3.3,3,,3.2,1.4,83,6.9,
90,속초,2024-02-08,-.3,-4.6,4.8,,2.5,1.1,72.5,9.3,
90,속초,2024-02-09,.9,-2.8,5.2,,3.2,1.2,69,9.2,
90,속초,2024-02-10,2.2,-2.5,7.1,,4,1.6,52.1,8.9,
90,속초,2024-02-11,1.7,-3.6,6.2,,5.6,1.7,46.4,4.9,
90,속초,2024-02-12,4.1,-3.4,9.6,,6.1,1.4,51.3,9.8,
90,속초,2024-02-13,11.9,8.2,14.8,,7.2,3.5,41.6,9.4,
90,속초,2024-02-14,13.5,11.2,18.1,,7.5,2.5,55.4,5.3,
90,속초,2024-02-15,1.6,-1.6,14.9,39.2,4.7,1.8,90,0,
90,속초,2024-02-16,-.1,-5.6,4.7,,2.6,1.2,77.9,10,
90,속초,2024-02-17,3.9,-2,10.9,,2.2,1.2,59.4,10.1,
90,속초,2024-02-18,6.2,.8,10.5,0,2.4,1,60.4,7.2,
90,속초,2024-02-19,5.4,4.1,9.4,10.2,4.4,1.6,92.9,2.9,
90,속초,2024-02-20,1.6,.6,4.2,17.4,4.5,2.7,94,0,
90,속초,2024-02-21,-.2,-1.7,1.1,26.7,5.3,3.6,93.9,0,
90,속초,2024-02-22,-1.7,-2.9,0,8.6,5.5,2.6,84.4,0,
90,속초,2024-02-23,-1.6,-3.8,1.3,2.5,3.5,1.3,84.6,.2,
90,속초,2024-02-24,-.4,-4.5,2.3,1.2,2.1,1.1,78,0,
90,속초,2024-02-25,.6,-1.4,3.1,2,4.7,1.6,88.6,2,
90,속초,2024-02-26,1.3,-1.6,3.9,,2.9,1.5,79.5,.4,
90,속초,2024-02-27,1.3,-1.4,4.6,.3,3.3,1.6,73.6,2.6,
90,속초,2024-02-28,1.3,-2.8,3.9,,3.4,1.2,80.3,6.5,
90,속초,2024-02-29,2.4,-.3,5.3,,2.5,1,81.5,0,
90,속초,2024-03-01,-1.8,-6.5,1.9,,7.3,2.9,29.3,10.4,
90,속초,2024-03-02,-.5,-7.4,3.5,0,6.9,2.9,41.1,7.6,
90,속초,2024-03-03,3.6,.6,7.4,.1,4.6,2.2,49.3,6.4,
90,속초,2024-03-04,3.6,-.3,6.9,,3,1.5,51.4,9.7,
90,속초,2024-03-05,2.4,.9,5.1,7,3.2,1.7,80.4,0,
90,속초,2024-03-06,1.5,-.3,3.4,1.8,2.8,1.5,81.3,0,
90,속초,2024-03-07,.9,-1.1,3.3,2.2,3.7,1,84.1,.7,
90,속초,2024-03-08,2.9,.1,7,,5.6,3.3,40.9,9.5,
90,속초,2024-03-09,.3,-2.2,3.9,,3.7,1.9,51.1,10.7,
90,속초,2024-03-10,4.5,-3.3,8.9,,5.6,2,50.4,10.7,
90,속초,2024-03-11,7.5,4.3,11.7,,3.7,1.3,36.1,1.7,
90,속초,2024-03-12,3.7,-.5,7.8,,5.3,1.7,72.5,4.5,
90,속초,2024-03-13,7.3,-1.8,14.8,,5.7,2.1,49,8.4,
90,속초,2024-03-14,12.1,5.5,17.1,,4.7,2.5,28,10.9,
90,속초,2024-03-15,15.9,10.5,20.6,,11.2,3.9,25.4,10.6,
90,속초,2024-03-16,8.7,4.9,14.8,,3,1.5,74.3,8.2,
90,속초,2024-03-17,10.3,4.3,16.7,,7.9,3.9,42.8,10,
90,속초,2024-03-18,6.2,-.2,9.6,,6,2.2,44.8,10.9,
90,속초,2024-03-19,6.3,.1,12.4,10.1,9.3,2.8,56.3,5.3,
90,속초,2024-03-20,2.8,-.5,6.1,3.8,5.9,2.1,60.8,6.1,
90,속초,2024-03-21,3.7,-.2,7.2,,4.6,2.1,51.9,10.6,
90,속초,2024-03-22,4.7,.2,10.1,4.6,5.1,2.2,76.3,4.6,
90,속초,2024-03-23,6.3,2.1,10.6,1.1,3.1,1.4,85.1,11.1,
90,속초,2024-03-24,7.8,3.8,10.4,,3.3,1.5,85.5,2.3,
90,속초,2024-03-25,6.2,3.4,8.5,9.1,4.9,2.2,90,0,
90,속초,2024-03-26,3.3,-.1,7.4,18.5,5,2,80.3,2.8,
90,속초,2024-03-27,7.6,.2,12.9,,6,2.1,77.4,10,
90,속초,2024-03-28,10.4,7.6,13.2,.3,3.9,1.1,70.5,0,
90,속초,2024-03-29,11.7,8.5,15.5,0,8.5,3.2,37.3,10.1,
90,속초,2024-03-30,8.8,3.7,17.5,0,8.1,2.6,49.9,9.5,
90,속초,2024-03-31,9.5,3.7,13.7,,4.9,1.7,41.4,9.6,
90,속초,2024-04-01,9.9,5.3,14.6,,4.6,1.8,48.6,11.6,
90,속초,2024-04-02,9.8,5.4,14.9,,5,1.7,66.1,9.6,
90,속초,2024-04-03,7.6,4.8,9.7,,5.1,2.4,78.3,0,
90,속초,2024-04-04,9.6,6.1,15.3,,3.7,1.4,64.1,7.6,
90,속초,2024-04-05,,6.9,14.3,,5.1,1.4,,2.2,
90,속초,2024-04-06,15.1,7.4,21.3,,6,1.9,51.4,9.8,
90,속초,2024-04-07,18,12.9,22.8,,6.7,2.3,36,11.4,
90,속초,2024-04-08,15.6,10.3,22,,7.5,2.1,50.4,5.8,
90,속초,2024-04-09,7.9,3.6,11.7,,4.4,2.4,52.5,9.8,
90,속초,2024-04-10,10.4,2.1,15.9,,6.1,2,64.9,8.6,
90,속초,2024-04-11,13.6,9.9,17.9,0,3.2,1.2,69.6,.8,
90,속초,2024-04-12,15.5,8.7,22.6,,5.5,1.5,65.8,11.6,
90,속초,2024-04-13,17.7,12,24.7,,4.7,1.5,54.3,11.8,
90,속초,2024-04-14,17.6,12.5,24.8,,5.3,1.7,59,11.6,
