지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2)
90,속초,2019-02-01,-.5,-7.3,4.5,,6.6,2.3,35.6,9.6,
90,속초,2019-02-02,4.4,.2,7.4,,5.5,2,41,6.1,
90,속초,2019-02-03,3.9,2.1,6.3,13.6,4,1.1,85.6,0,
90,속초,2019-02-04,3.3,.1,6.7,,5,2,23.6,9.4,
90,속초,2019-02-05,4.9,.8,8.7,,4.8,2.4,35.9,8.4,
90,속초,2019-02-06,4.9,.8,8.8,,4.5,1.9,59.4,6.1,
90,속초,2019-02-07,.3,-3.6,4.7,9.3,5.3,2.1,62,6.2,
90,속초,2019-02-08,-3.3,-7.3,.4,,3.3,1.3,43.3,8.8,
90,속초,2019-02-09,-1.9,-4.5,1.2,,6,2.9,42.1,8.4,
90,속초,2019-02-10,-2.6,-6.6,1.2,,2.8,1.4,49.8,6,
90,속초,2019-02-11,.2,-3.3,3.9,,5.6,1.9,22.8,9.9,
90,속초,2019-02-12,0,-3.7,4.9,,4.5,1.8,34.4,9.4,
90,속초,2019-02-13,-1.6,-4.9,1.6,,5.8,2.3,37.6,9.5,
90,속초,2019-02-14,-1.6,-4.3,1.1,0,2.7,1.3,68.8,3.8,
90,속초,2019-02-15,2,-2.4,5.9,,7,2,56.4,7.3,
90,속초,2019-02-16,-.3,-3.7,3.6,,5.2,1.8,41.9,9.6,
90,속초,2019-02-17,2.1,-3.9,7.7,,3.8,1.7,30.9,10.2,
90,속초,2019-02-18,4.3,-1.1,8.4,,2.8,1.2,41.3,7.6,
90,속초,2019-02-19,3,1.6,5.1,4.7,5.7,1.5,76.6,.1,
90,속초,2019-02-20,2.9,.4,7.1,,4.6,2,52,9.9,
90,속초,2019-02-21,3.7,-1.6,8.8,,4.1,1.4,58.8,9.8,
90,속초,2019-02-22,4.5,-1.4,9.9,,3.1,1.3,56,9.7,
90,속초,2019-02-23,4.4,-.5,9.8,,2.9,1.4,56.3,9.1,
90,속초,2019-02-24,8.8,-1.2,15.7,,4.7,1.6,39.5,10.2,
90,속초,2019-02-25,7.2,3,10.3,,6.7,2.3,49.5,6.9,
90,속초,2019-02-26,5.4,1.7,8.7,,6.6,2.1,49.3,10.1,
90,속초,2019-02-27,5.8,2.4,9.7,,2.9,1.3,72.4,4.5,
90,속초,2019-02-28,5.9,1.5,10.4,,4.1,1.5,59.3,8.6,
90,속초,2019-03-01,7.1,1.1,12.4,,4,1.4,49.6,10.2,
90,속초,2019-03-02,7.5,2.2,12.9,,2.9,1.4,50.8,9.4,
90,속초,2019-03-03,8.2,1.9,14.4,,3.4,1.4,58.9,9.2,
90,속초,2019-03-04,8.1,4.3,12.9,,3.7,1.5,76.1,5.2,
90,속초,2019-03-05,10.8,4,16.1,,4.3,1.6,52.6,7.5,
90,속초,2019-03-06,9.1,4.2,13.5,3.3,4.8,2.4,60,4.8,
90,속초,2019-03-07,4.8,1.1,8.7,3.2,5.3,1.6,78,3.4,
90,속초,2019-03-08,8.6,-.3,12.5,,5.8,2.1,49.5,10.7,
90,속초,2019-03-09,12.2,5.3,16.3,,4.7,1.8,19.6,7.2,
90,속초,2019-03-10,7.9,4.7,11.6,,7.1,2.7,52.1,.2,
90,속초,2019-03-11,7.6,.8,13.4,,4.9,2,53.4,7.4,
90,속초,2019-03-12,6.9,1.8,11.3,.1,5.7,2.9,38.5,7.8,
90,속초,2019-03-13,4.5,.3,9.7,,8.1,3.7,20.5,10.8,
90,속초,2019-03-14,5.5,-1.4,11.3,0,5.3,2.2,30.3,10.7,
90,속초,2019-03-15,5.2,2.4,10.5,2.6,4.1,1.6,64.4,6.6,
90,속초,2019-03-16,5.8,-.6,10.8,,6.7,2,55.8,8.8,
90,속초,2019-03-17,6.7,2.9,10.8,,4.9,1.8,49.9,10.9,
90,속초,2019-03-18,12.2,3.2,18.7,,4.4,1.9,29,10.3,
90,속초,2019-03-19,16.3,9.7,21.6,,4.1,1.9,32.3,10.6,
90,속초,2019-03-20,14.2,9,18.4,12.3,3.6,1.5,64,2.8,
90,속초,2019-03-21,10.8,5.2,15.8,5.9,5.8,2.9,58,6.1,
90,속초,2019-03-22,4.3,.6,9.4,,4.6,1.5,53.3,6.9,
90,속초,2019-03-23,5.1,.7,9.1,,4.7,2.1,37,9.8,
90,속초,2019-03-24,6.6,-.6,12.5,,5.6,2.1,29.4,11.5,
90,속초,2019-03-25,11.2,6.2,15.6,,5.7,2.9,43.8,10.8,
90,속초,2019-03-26,12.8,8.8,17.4,,5.4,2.1,37,11.1,
90,속초,2019-03-27,10.6,5.9,18.8,3.3,10.5,2.7,67.5,6.2,
90,속초,2019-03-28,4.8,3.1,6.1,12.2,3.4,1.3,88.1,0,
90,속초,2019-03-29,7,4.2,10.5,,4.9,1.9,66.4,3.5,
90,속초,2019-03-30,6.9,3.5,13.3,1.5,4.9,2.3,60.3,6.3,
90,속초,2019-03-31,5.5,3.4,8.7,,6.4,2.7,48.5,6.4,
90,속초,2019-04-01,6.4,1.9,10.8,,4.6,2.5,31.1,10.6,
90,속초,2019-04-02,6.9,2.3,10.9,,5.6,2.2,33.4,9.9,
90,속초,2019-04-03,10.2,3.4,15.8,,6.8,2.3,30.8,11.9,
90,속초,2019-04-04,15.3,9.2,21.2,,9.6,5.8,18.4,11.9,
90,속초,2019-04-05,12.7,8.2,18.4,,8.5,3.2,35.1,10.8,
90,속초,2019-04-06,11.4,8.1,15,.9,4.8,1.8,43.5,4.2,
90,속초,2019-04-07,11,6.4,15.1,,6.3,2.7,49.1,11.7,
90,속초,2019-04-08,9.6,3.8,13.9,,11,3,38.6,12,
90,속초,2019-04-09,8.4,3.1,14.5,7.2,7.8,2.8,58.3,5.6,
90,속초,2019-04-10,4.2,2.5,6.5,31.2,4.4,1.3,93.5,0,
90,속초,2019-04-11,7.5,1.3,13.1,,2.7,1.3,72.1,8.2,
90,속초,2019-04-12,11,5.4,15.5,,5.1,1.6,63.1,11.6,
90,속초,2019-04-13,15.2,8.5,20.5,,3.9,1.8,28.3,12,
90,속초,2019-04-14,10.9,6.7,14.9,1,7.9,2.5,46.4,4,
90,속초,2019-04-15,13.6,5.8,21.8,,5.9,2.4,37,12.3,
90,속초,2019-04-16,19.5,14.3,24.9,,4.9,2.1,15.3,9.9,
90,속초,2019-04-17,18.9,14.7,25.9,,5.3,1.9,25.1,11.1,
90,속초,2019-04-18,17.3,11.8,20.9,,5.4,2.4,44.9,4.5,
