지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2)
90,속초,2020-02-01,4.4,.3,8.2,,3.5,1.2,46,9.4,
90,속초,2020-02-02,3.8,-.7,8,,5.1,1.5,43.6,7.4,
90,속초,2020-02-03,1.7,-.7,5.2,,5.5,2.4,30.5,9.6,
90,속초,2020-02-04,1.5,-2.5,5.5,,5.5,2.4,34.6,8.6,
90,속초,2020-02-05,-4,-6.9,0,,4.3,2.2,26.3,9.7,
90,속초,2020-02-06,-4,-8.2,.5,,3.9,2,58.5,7.4,
90,속초,2020-02-07,1.1,-5.9,5.3,,6.8,2.6,34,8.8,
90,속초,2020-02-08,1.1,-1.7,4.4,2.6,5.7,2.4,54.4,8.8,
90,속초,2020-02-09,1.8,-3.4,6.5,,4.7,2,42.6,9.7,
90,속초,2020-02-10,4,-.1,8.1,,5.4,1.5,46.6,9.9,
90,속초,2020-02-11,7,.1,12.6,,4.9,1.8,50,9.6,
90,속초,2020-02-12,9,5,11.7,2,3.9,1,65,0,
90,속초,2020-02-13,10.3,5.8,16.1,0,5.2,1.6,61.5,10,
90,속초,2020-02-14,9.9,6,13.7,,4.7,1.6,67.5,8.7,
90,속초,2020-02-15,8.4,4,10.5,1.5,7.9,3.9,85.8,0,
90,속초,2020-02-16,2.1,-1.2,5.7,6.1,8.4,3.3,65.4,5.1,
90,속초,2020-02-17,-2.8,-5.2,-.2,,4.9,2.7,44.8,.7,
90,속초,2020-02-18,0,-6.1,5.4,,3.3,1.6,38.5,10.2,
90,속초,2020-02-19,3.5,-.8,7.6,,2.4,1.3,43,9.5,
90,속초,2020-02-20,5.8,1.3,10,,2.9,1.3,48.8,9.7,
90,속초,2020-02-21,8.4,2.1,13.4,0,3.8,1.3,48.4,1.1,
90,속초,2020-02-22,6,.9,8.9,0,7.4,3.7,40.8,9.4,
90,속초,2020-02-23,5.6,.2,10.5,,4.4,2,25.8,10.3,
90,속초,2020-02-24,9.6,5.6,12.7,,7.5,2.6,43.4,8.2,
90,속초,2020-02-25,6.3,4.6,10.8,24.1,5.9,1.9,82,0,
