지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2)
90,속초,2023-02-01,3.2,-2,7.1,,6.6,2.9,37,9.2,
90,속초,2023-02-02,-2.2,-6.4,1.3,,3.2,1.4,56.4,8,
90,속초,2023-02-03,-1.2,-4,1.7,,4.2,1.9,50.1,6.4,
90,속초,2023-02-04,.9,-4.1,5.1,,5.5,1.9,27.6,9.8,
90,속초,2023-02-05,3.7,-2.1,8.2,,4.5,1.5,31.9,9.8,
90,속초,2023-02-06,5,.6,10.1,,2.7,1.1,42.4,8.3,
90,속초,2023-02-07,2.6,-.4,5.5,,3.1,1.7,68,1.7,
90,속초,2023-02-08,1.2,-1.9,5.6,,5.5,1.9,69.1,9.5,
90,속초,2023-02-09,2.2,-1.6,5.2,,2.9,1.6,59.1,7.5,
90,속초,2023-02-10,1.4,-.5,3.6,2.7,4.6,1.5,87.9,0,
90,속초,2023-02-11,3.7,-1,7.4,,2.6,1.2,67.5,6.2,
90,속초,2023-02-12,4.4,.4,7.2,1.4,4,1.6,63,1.3,
90,속초,2023-02-13,1.4,0,5.6,26,3.1,1.6,87.8,0,
90,속초,2023-02-14,-.8,-4.4,1.6,.9,8.2,2.3,64.4,5.7,
90,속초,2023-02-15,-1.2,-3.2,0,4.1,3.1,1.5,80.3,.7,
90,속초,2023-02-16,1.4,-4.5,6.3,,4.1,1.5,63,8.3,
90,속초,2023-02-17,5.5,1.1,9.8,,5.7,2,41.6,8.2,
90,속초,2023-02-18,5.8,1.4,8.8,,5.9,1,57.9,0,
90,속초,2023-02-19,5.8,1.5,10.3,,7,3.3,35,9.8,
90,속초,2023-02-20,.5,-2.3,4.8,,8.5,3.5,30.1,10.1,
90,속초,2023-02-21,-2,-5.8,1.5,,3,1.6,44.4,10,
90,속초,2023-02-22,3.7,-5.6,8.6,,4.1,1.6,37.6,9,
90,속초,2023-02-23,5.9,2.7,9.7,,4,1.6,40.8,10,
90,속초,2023-02-24,3.4,-1.1,8.8,,6.8,2.2,52.8,7.8,
90,속초,2023-02-25,-.7,-3.9,1.6,8.3,3.9,1.6,73.6,2.7,
90,속초,2023-02-26,2.5,-3.7,7.7,,5.1,2,46.5,10.5,
90,속초,2023-02-27,8.7,-.6,15.6,,4.3,1.6,29,10.6,
90,속초,2023-02-28,9.7,6.6,14.9,,9.1,3.3,24.5,5.5,
90,속초,2023-03-01,7.2,4.1,10.6,,6.5,2.5,40.1,3.9,
90,속초,2023-03-02,2.5,-.3,4.4,0,6.7,2.3,35.6,10.4,
90,속초,2023-03-03,8.7,2,14.2,,4.1,2,29.4,10.3,
90,속초,2023-03-04,6.1,3.3,10.7,,3.9,1.7,66.6,10.4,
90,속초,2023-03-05,7.3,.7,12.5,,4.9,1.6,67.8,9.6,
90,속초,2023-03-06,14.1,6.5,19.3,,4.6,2,22.4,10.2,
90,속초,2023-03-07,14.4,11.2,18,,4.7,1.9,42,9.7,
90,속초,2023-03-08,15.6,8.4,20.8,0,6.3,3.1,42.6,4.3,
90,속초,2023-03-09,6.6,4.9,9.4,2.6,5.4,2.2,87.1,1.9,
90,속초,2023-03-10,9.4,5.2,13.6,,5.7,2.2,84,7.7,
90,속초,2023-03-11,7.2,6.2,9.1,,5.3,2.6,91.3,0,
90,속초,2023-03-12,5.5,.4,8.1,6.3,6.5,2.3,74.4,.5,
90,속초,2023-03-13,4.2,-1.7,8.6,,7.1,3,23.4,8.1,
90,속초,2023-03-14,9.3,6.2,13.2,,4.3,2.2,44.4,4.1,
90,속초,2023-03-15,13.3,8.1,18.7,,5.8,2.5,42.1,5.9,
90,속초,2023-03-16,5.7,2.1,10.5,,5.1,1.8,31.5,8.2,
90,속초,2023-03-17,5.6,.8,9.6,,3.4,1.6,42.8,8.7,
90,속초,2023-03-18,7.1,2.3,10.6,,3.8,1.6,51,10.5,
90,속초,2023-03-19,10,4.2,15.4,,3.3,1.8,42.5,11.3,
90,속초,2023-03-20,11.7,4.7,16.7,,4.6,1.7,42.9,9.8,
90,속초,2023-03-21,13,8,17.3,,5.5,2,47.3,10.5,
90,속초,2023-03-22,11.8,6.2,16,0,3.7,1.5,72.3,9.8,
90,속초,2023-03-23,10.4,6.6,14,0,8.2,2.5,76.3,.1,
90,속초,2023-03-24,7.4,5.8,9.8,0,4.9,2.2,75.4,0,
90,속초,2023-03-25,6.4,4.8,8.4,1.2,2.5,1.1,90.1,0,
90,속초,2023-03-26,5.8,2.2,9,0,5.8,2.5,75.4,3.2,
90,속초,2023-03-27,7.1,1.4,12.3,,3.5,1.7,66.1,10.9,
90,속초,2023-03-28,9.6,2.9,15.6,,4,1.8,46.4,10.6,
90,속초,2023-03-29,12.6,6,16.4,,5.6,2.2,48.5,10.8,
90,속초,2023-03-30,19.3,12.2,25.4,,5.5,2.3,17.6,11.5,
90,속초,2023-03-31,13.8,8.7,17.4,,3.7,1.4,59.9,11.1,
90,속초,2023-04-01,12.5,7,17,,3.5,1.4,80.5,10.4,
90,속초,2023-04-02,11.3,7.9,15.4,,3.1,1.4,85.5,9.4,
90,속초,2023-04-03,11.5,6.4,16.1,,4,1.8,77,9.6,
90,속초,2023-04-04,11.9,7.7,16.1,0,4.6,1.3,81.1,4,
90,속초,2023-04-05,11.4,10.3,12.6,28,4,1.4,96.4,0,
90,속초,2023-04-06,13.5,10.7,18.2,0,3.8,1.7,63.6,7.9,
90,속초,2023-04-07,11.9,7.2,18,0,5.3,2.6,37.3,10.2,
90,속초,2023-04-08,11.2,5.3,16.4,,6.3,3.4,23.4,12.1,
90,속초,2023-04-09,14.8,6.5,21.8,,5.6,2.3,24.8,12.1,
90,속초,2023-04-10,17.7,12.3,23.2,,5.5,2.7,22.8,8.5,
