지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2)
90,속초,2021-02-01,7.7,2.6,13.7,0,5.7,2.7,46.9,8.9,
90,속초,2021-02-02,-2.7,-5.8,3.6,,8.1,3.7,20.3,9.6,
90,속초,2021-02-03,-2.2,-7.6,2,0,5.5,2.4,35.3,9.4,
90,속초,2021-02-04,.1,-2.8,2.9,0,5.4,2.7,28.9,9.8,
90,속초,2021-02-05,5.1,-.4,9.2,,6.8,3,38.5,8.9,
90,속초,2021-02-06,8.7,5.1,12.5,,5.4,2.5,47.8,8.7,
90,속초,2021-02-07,3.9,-.5,9.1,0,5.9,1.9,79.9,1.9,
90,속초,2021-02-08,-1.2,-3.9,1.5,,6.1,2.6,33.8,9.9,
90,속초,2021-02-09,1.7,-4.8,7.3,,5.8,2,28.4,10.1,
90,속초,2021-02-10,5.8,1.5,10.4,,6,2.5,42.9,9.1,
90,속초,2021-02-11,6.1,.6,10.7,,4.7,2,53.8,9.4,
90,속초,2021-02-12,6.7,1.5,13.8,,4.3,1.5,61,8.7,
90,속초,2021-02-13,4,.3,8.1,,3.5,1.2,79.8,9.1,
90,속초,2021-02-14,5.9,.9,11.1,.1,3.9,1.4,85.8,1.3,
90,속초,2021-02-15,3.1,-3.2,8.5,.1,6.7,2.8,56.3,6.5,
90,속초,2021-02-16,-2.9,-6.2,.7,,6.7,4,24.1,9.6,
90,속초,2021-02-17,-7.5,-10,-4.2,,6,2.9,28.8,10,
90,속초,2021-02-18,-4,-10.1,1.8,,3.4,1.4,31.5,10.1,
90,속초,2021-02-19,5.7,-4.3,11.1,,7.3,2.6,34.1,9.6,
90,속초,2021-02-20,12.7,7.9,17.8,,7.3,3,30.9,8.9,
90,속초,2021-02-21,7.4,3.1,14.4,,5.1,2.6,65.6,9,
90,속초,2021-02-22,4,1.9,7.6,,4.1,1.5,81.1,.6,
90,속초,2021-02-23,.6,-2.5,3.6,,3.9,1.8,48.8,10.3,
90,속초,2021-02-24,1,-2.7,5.4,,3,1.7,48.8,9.6,
90,속초,2021-02-25,2.9,-1.9,7,,2,1.1,69.8,0,
90,속초,2021-02-26,4.5,.2,7.7,0,4.7,2.1,73.3,8,
90,속초,2021-02-27,3.9,1.7,6.5,4.8,4.1,1.8,83,0,
90,속초,2021-02-28,6.1,-1.5,10.7,,4.5,1.6,72.9,7.2,
90,속초,2021-03-01,2,-.4,10,73.4,6.2,3,90.8,0,
90,속초,2021-03-02,-1.3,-4.1,.5,7.6,5.8,2.1,87.8,.1,
90,속초,2021-03-03,2.1,-4.5,7.4,,3.1,1.4,68.8,10.5,
90,속초,2021-03-04,5.9,.7,10.5,,2.6,1.1,60.5,0,
90,속초,2021-03-05,9.5,1.5,16.5,,3.8,1.6,59.1,10.5,
90,속초,2021-03-06,.5,-1.1,10.3,5.4,6.9,2.6,83.1,0,
90,속초,2021-03-07,1.7,-.9,5.1,.5,2.7,.9,85.3,4.1,
90,속초,2021-03-08,2.7,-.3,6.5,,3.6,1.5,86.5,5.5,
90,속초,2021-03-09,8.1,-.3,15.2,,4.3,1.7,60.8,10.2,
90,속초,2021-03-10,7.4,2.2,11.5,,6.1,2.6,60.8,10.6,
90,속초,2021-03-11,10.6,1.8,16.1,,3.8,1.6,54,9.8,
90,속초,2021-03-12,6.6,5.1,10.6,3.9,7.3,2.9,79.9,0,
90,속초,2021-03-13,6,2.4,10.1,,2.9,1.5,65.9,8.1,
90,속초,2021-03-14,8,3,13.2,,2.4,1.1,79.4,9.7,
90,속초,2021-03-15,10.6,4,14.2,,3.5,1.1,63,5.5,
90,속초,2021-03-16,10.5,4.8,15.9,0,6.7,2.6,53.4,10.3,
90,속초,2021-03-17,7.3,2.8,10.3,,4.8,1.8,61.3,10.3,
90,속초,2021-03-18,7.1,5.2,9.1,,5.4,1.9,78.1,2.8,
90,속초,2021-03-19,7.4,6.2,9,,3.8,1.5,81.9,.6,
90,속초,2021-03-20,7.4,5.7,9.9,.9,5,1.8,86.3,.1,
90,속초,2021-03-21,7.3,4.7,11.6,,7.6,3.2,53.1,6.1,
90,속초,2021-03-22,8.1,3,12.8,,5.9,3.1,29.5,11.5,
90,속초,2021-03-23,12.8,6.5,18.9,,6.6,2.7,22.6,11.3,
90,속초,2021-03-24,13.8,9.5,17.8,,6.8,2.3,30.5,9.9,
90,속초,2021-03-25,14.3,9.5,18.7,,5.9,2.1,41.5,10.6,
90,속초,2021-03-26,13.6,10.1,17.9,,4.5,2.3,54.9,9.8,
90,속초,2021-03-27,9.1,7.3,11.4,9.2,4.3,1.5,86.6,0,
90,속초,2021-03-28,12.4,7.9,17.3,3.3,6.1,2,73.1,8,
90,속초,2021-03-29,13.8,9.4,18.6,0,9.3,4.5,34,10,
90,속초,2021-03-30,12.2,7.2,18.6,,4.5,2,35.9,11.6,
90,속초,2021-03-31,11.1,5.4,15.2,,3.1,1.3,67.1,11.5,
90,속초,2021-04-01,10,7.3,13.1,,3.5,1.8,88.4,4,
90,속초,2021-04-02,11.3,7.3,15.5,,3.9,1.4,83.4,4.4,
90,속초,2021-04-03,10.1,9.2,11.4,40.5,5.7,2.1,87,0,
90,속초,2021-04-04,7.5,3,10.8,12.1,7.7,3.3,66.1,2.2,
90,속초,2021-04-05,8.9,2,14.2,,4.7,2,51.8,12.2,
90,속초,2021-04-06,14.1,5.4,20.4,,4.8,1.8,48,9.9,
90,속초,2021-04-07,14.6,9.2,17.6,,7,2.7,48.6,10.7,
90,속초,2021-04-08,11,7.8,14.1,1.8,6.7,2.6,60.6,10.2,
90,속초,2021-04-09,9.4,4.2,12.8,,5.8,3.3,50.9,12,
90,속초,2021-04-10,9.4,2.1,14.7,,6.6,2.4,60.6,11.4,
90,속초,2021-04-11,12.2,6.6,18.2,,5.9,2.1,71.6,9.7,
90,속초,2021-04-12,11,8.9,14.7,12,2.9,1,85.4,.3,
90,속초,2021-04-13,13.5,8.8,19.5,4.5,7.3,2.5,57.5,10.3,
90,속초,2021-04-14,10.7,5.2,15.1,,5.6,2.3,44.6,12.4,
90,속초,2021-04-15,12.4,8,16.5,,6.7,2.7,42.6,12.4,
90,속초,2021-04-16,14.5,8.7,18.8,,5.4,2.5,39.4,9.1,
90,속초,2021-04-17,11.1,7.2,16.4,0,6.7,2.6,38,4.1,
90,속초,2021-04-18,12.1,7.6,15,,5.3,2.6,45.1,11.9,
90,속초,2021-04-19,18.2,10.5,23.8,,9.5,4.1,26.8,12.5,
