지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),합계 일조시간(hr)
108,서울,2014-02-01,4.9,3.7,6,11,0
108,서울,2014-02-02,4.9,2.8,6.5,.5,0
108,서울,2014-02-03,-3.5,-8.2,2.8,,4.6
108,서울,2014-02-04,-7.4,-10.5,-3.7,,9.7
108,서울,2014-02-05,-4.8,-8.9,.3,,7.2
108,서울,2014-02-06,-1.3,-5.2,4.5,,6.7
108,서울,2014-02-07,2.4,-2,7.6,0,5.2
108,서울,2014-02-08,.2,-1.5,2.5,4.3,.9
108,서울,2014-02-09,-1.6,-3.4,.7,.2,1.6
108,서울,2014-02-10,-.1,-2.9,4.4,.2,6
108,서울,2014-02-11,.2,-3.8,5.2,,9.7
108,서울,2014-02-12,1.2,-2,5.1,0,5.1
108,서울,2014-02-13,1.9,-2.1,6.5,,6.5
108,서울,2014-02-14,2.7,-.7,7.6,,6.8
108,서울,2014-02-15,2.7,-1.9,8.5,,9.8
108,서울,2014-02-16,2.8,-1.1,8.1,,2.9
108,서울,2014-02-17,4.2,.9,8.5,,3.2
108,서울,2014-02-18,2.5,.3,5.4,,3.1
108,서울,2014-02-19,2.1,-1.9,6.7,,8.1
108,서울,2014-02-20,1.2,-1.2,5.5,,7.8
108,서울,2014-02-21,.9,-4,6.9,,10.1
108,서울,2014-02-22,2.2,-2.1,7.4,,9.4
108,서울,2014-02-23,3.1,-1.8,8.5,,7.3
108,서울,2014-02-24,4.1,-.3,9.3,,6.3
108,서울,2014-02-25,5.7,.6,12.3,,8
108,서울,2014-02-26,8.4,1.4,16.4,,8.2
108,서울,2014-02-27,7.7,3.8,13.1,,5.4
108,서울,2014-02-28,6.7,1.3,12.3,,4.3
108,서울,2014-03-01,6,3.3,9.4,,1
108,서울,2014-03-02,4.5,-.2,10.1,,10.5
108,서울,2014-03-03,5.2,-1,11.9,,10.4
108,서울,2014-03-04,6.3,2.2,12.3,,6.3
108,서울,2014-03-05,1.4,-1.4,5.3,0,10.7
108,서울,2014-03-06,.3,-3,5,0,9.6
108,서울,2014-03-07,-.6,-4.6,4.3,,10.6
108,서울,2014-03-08,2,-2.2,7,,7.4
108,서울,2014-03-09,1.4,-1.6,4.8,2.2,9.9
108,서울,2014-03-10,1.5,-3.6,7.7,,11.1
108,서울,2014-03-11,4.5,-.9,9.4,,4.3
108,서울,2014-03-12,6.9,4,9.5,.2,.9
108,서울,2014-03-13,5.2,1.6,8.3,0,.8
108,서울,2014-03-14,3.4,-1.5,8.5,,10.5
108,서울,2014-03-15,6.8,.1,13.4,,7
108,서울,2014-03-16,11.3,5.7,18.5,,7.3
108,서울,2014-03-17,12.6,6.9,19.4,.5,5.4
108,서울,2014-03-18,10.5,7.7,16,.4,7.1
108,서울,2014-03-19,9.6,7.4,12.3,,.1
108,서울,2014-03-20,6.3,2.8,10.3,.4,4.1
108,서울,2014-03-21,5.9,1.2,12,,11.4
108,서울,2014-03-22,8.6,2.3,15.5,,9.9
108,서울,2014-03-23,9.6,4.6,15.5,,10.1
108,서울,2014-03-24,10.9,4.6,15.3,0,7.7
108,서울,2014-03-25,14.6,11.9,18.2,0,.7
108,서울,2014-03-26,15.4,11.8,21.9,0,6.4
108,서울,2014-03-27,13.5,7.7,20.4,,7.9
108,서울,2014-03-28,16.6,11.3,23.8,,7
